"","Symbol","Year","Indicator"
"290","BRQS","Y2008",0
"291","BSET","Y2008",0
"292","BSPM","Y2008",1
"293","BSQR","Y2008",1
"294","BSTC","Y2008",1
"295","BUFF","Y2008",0
"296","BUR","Y2008",0
"297","BURG","Y2008",1
"298","BVSN","Y2008",1
"299","BVXV","Y2008",0
"300","BWEN","Y2008",1
"301","BYSI","Y2008",0
"302","BZUN","Y2008",0
"303","CA","Y2008",0
"304","CAAS","Y2008",1
"305","CADC","Y2008",0
"306","CAFD","Y2008",0
"307","CAKE","Y2008",1
"308","CALA","Y2008",0
"309","CALD","Y2008",1
"310","CALI","Y2008",1
"311","CALL","Y2008",1
"312","CALM","Y2008",0
"313","CAMP","Y2008",0
"314","CAMT","Y2008",1
"315","CAPR","Y2008",1
"316","CAR","Y2008",1
"317","CARA","Y2008",0
"318","CARB","Y2008",0
"319","CARG","Y2008",0
"320","CASA","Y2008",0
"321","CASC","Y2008",1
"322","CASI","Y2008",1
"323","CASM","Y2008",1
"324","CASS","Y2008",1
"325","CASY","Y2008",0
"326","CATB","Y2008",0
"327","CATM","Y2008",1
"328","CATS","Y2008",1
"329","CAVM","Y2008",1
"330","CBAK","Y2008",1
"331","CBAY","Y2008",0
"332","CBIO","Y2008",1
"333","CBLI","Y2008",1
"334","CBMG","Y2008",1
"335","CBPO","Y2008",1
"336","CBRL","Y2008",0
"337","CCCL","Y2008",1
"338","CCIH","Y2008",0
"339","CCLP","Y2008",0
"340","CCMP","Y2008",0
"341","CCOI","Y2008",1
"342","CCRC","Y2008",0
"343","CCRN","Y2008",1
"344","CCUR","Y2008",0
"345","CCXI","Y2008",0
"346","CDEV","Y2008",0
"347","CDK","Y2008",0
"348","CDLX","Y2008",0
"349","CDMO","Y2008",0
"350","CDMOP","Y2008",NA
"351","CDNA","Y2008",0
"352","CDNS","Y2008",0
"353","CDTI","Y2008",1
"354","CDTX","Y2008",0
"355","CDW","Y2008",0
"356","CDXC","Y2008",1
"357","CDXS","Y2008",0
"358","CDZI","Y2008",1
"359","CECE","Y2008",1
"360","CECO","Y2008",0
"361","CELC","Y2008",0
"362","CELG","Y2008",0
"363","CELH","Y2008",1
"364","CEMI","Y2008",0
"365","CENT","Y2008",0
"366","CENTA","Y2008",0
"367","CENX","Y2008",1
"368","CERC","Y2008",0
"369","CERN","Y2008",0
"370","CERS","Y2008",1
"371","CETV","Y2008",0
"372","CETX","Y2008",0
"373","CEVA","Y2008",1
"374","CFMS","Y2008",0
"375","CFRX","Y2008",0
"376","CGEN","Y2008",1
"377","CGIX","Y2008",0
"378","CGNT","Y2008",0
"379","CGNX","Y2008",0
"380","CHCI","Y2008",1
"381","CHDN","Y2008",1
"382","CHEF","Y2008",0
"383","CHEK","Y2008",0
"384","CHFS","Y2008",0
"385","CHKE","Y2008",0
"386","CHKP","Y2008",1
"387","CHMA","Y2008",0
"388","CHNR","Y2008",1
"389","CHRS","Y2008",0
"390","CHRW","Y2008",1
"391","CHSCM","Y2008",NA
"392","CHSCN","Y2008",NA
"393","CHSCO","Y2008",NA
"394","CHSCP","Y2008",NA
"395","CHTR","Y2008",0
"396","CHUBA","Y2008",0
"397","CHUBK","Y2008",0
"398","CHUY","Y2008",0
"399","CIDM","Y2008",0
"400","CIFS","Y2008",0
"401","CJJD","Y2008",0
"402","CKPT","Y2008",0
"403","CLAR","Y2008",1
"404","CLBS","Y2008",1
"405","CLCT","Y2008",0
"406","CLDX","Y2008",1
"407","CLFD","Y2008",0
"408","CLGN","Y2008",0
"409","CLIR","Y2008",0
"410","CLLS","Y2008",0
"411","CLMT","Y2008",1
"412","CLNE","Y2008",1
"413","CLRB","Y2008",1
"414","CLRO","Y2008",0
"415","CLSD","Y2008",0
"416","CLSN","Y2008",1
"417","CLUB","Y2008",1
"418","CLVS","Y2008",0
"419","CLWT","Y2008",1
"420","CLXT","Y2008",0
"421","CMCO","Y2008",0
"422","CMCSA","Y2008",0
"423","CMCT","Y2008",0
"424","CMPR","Y2008",0
"425","CMRX","Y2008",0
"426","CMTA","Y2008",0
"427","CMTL","Y2008",0
"428","CNAT","Y2008",0
"429","CNCE","Y2008",0
"430","CNET","Y2008",1
"431","CNIT","Y2008",1
"432","CNMD","Y2008",1
"433","CNSL","Y2008",1
"434","CNTY","Y2008",1
"435","CNXN","Y2008",1
"436","CODA","Y2008",0
"437","CODX","Y2008",0
"438","COGT","Y2008",1
"439","COHR","Y2008",0
"440","COHU","Y2008",1
"441","COKE","Y2008",1
"442","COLL","Y2008",0
"443","COLM","Y2008",1
"444","COMM","Y2008",0
"445","CONE","Y2008",0
"446","CONN","Y2008",0
"447","COOL","Y2008",0
"448","CORE","Y2008",1
"449","CORI","Y2008",0
"450","CORT","Y2008",1
"451","COST","Y2008",0
"452","COUP","Y2008",0
"453","CPAH","Y2008",0
"454","CPHC","Y2008",1
"455","CPIX","Y2008",1
"456","CPLA","Y2008",1
"457","CPLP","Y2008",1
"458","CPRT","Y2008",0
"459","CPRX","Y2008",1
"460","CPSH","Y2008",1
"461","CPSI","Y2008",1
"462","CPST","Y2008",0
"463","CRAI","Y2008",1
"464","CRAY","Y2008",0
"465","CRBP","Y2008",0
"466","CREE","Y2008",0
"467","CREG","Y2008",1
"468","CRIS","Y2008",1
"469","CRME","Y2008",1
"470","CRMT","Y2008",0
"471","CRNT","Y2008",1
"472","CROX","Y2008",1
"473","CRSP","Y2008",0
"474","CRTO","Y2008",0
"475","CRUS","Y2008",0
"476","CRVS","Y2008",0
"477","CRWS","Y2008",0
"478","CRZO","Y2008",1
"479","CSBR","Y2008",0
"480","CSCO","Y2008",0
"481","CSGP","Y2008",1
"482","CSGS","Y2008",1
"483","CSII","Y2008",0
"484","CSIQ","Y2008",1
"485","CSOD","Y2008",0
"486","CSPI","Y2008",0
"487","CSTE","Y2008",0
"488","CSWC","Y2008",0
"489","CSWI","Y2008",0
"490","CSX","Y2008",0
"491","CTAS","Y2008",0
"492","CTG","Y2008",1
"493","CTHR","Y2008",1
"494","CTIB","Y2008",1
"495","CTIC","Y2008",1
"496","CTMX","Y2008",0
"497","CTRE","Y2008",0
"498","CTRL","Y2008",0
"499","CTRN","Y2008",0
"500","CTRP","Y2008",1
"501","CTRV","Y2008",0
"502","CTSH","Y2008",1
"503","CTSO","Y2008",1
"504","CTWS","Y2008",1
"505","CTXR","Y2008",0
"506","CTXS","Y2008",0
"507","CUE","Y2008",0
"508","CUI","Y2008",1
"509","CUR","Y2008",1
"510","CUTR","Y2008",1
"511","CVCO","Y2008",0
"512","CVGI","Y2008",1
"513","CVGW","Y2008",0
"514","CVLT","Y2008",0
"515","CVTI","Y2008",1
"516","CVV","Y2008",1
"517","CWBR","Y2008",0
"518","CWCO","Y2008",1
"519","CWST","Y2008",1
"520","CXDC","Y2008",1
"521","CXRX","Y2008",0
"522","CY","Y2008",1
"523","CYAD","Y2008",0
"524","CYAN","Y2008",0
"525","CYBE","Y2008",1
"526","CYCC","Y2008",1
"527","CYCCP","Y2008",NA
"528","CYOU","Y2008",1
"529","CYRN","Y2008",1
"530","CYRX","Y2008",1
"531","CYTK","Y2008",1
"532","CYTR","Y2008",1
"533","CYTX","Y2008",1
"534","CZR","Y2008",0
"535","DAIO","Y2008",1
"536","DAKT","Y2008",0
"537","DARE","Y2008",0
"538","DAVE","Y2008",1
"539","DBVT","Y2008",0
"540","DCAR","Y2008",0
"541","DCIX","Y2008",0
"542","DCPH","Y2008",0
"543","DELT","Y2008",0
"544","DENN","Y2008",1
"545","DEPO","Y2008",1
"546","DERM","Y2008",0
"547","DEST","Y2008",1
"548","DFBG","Y2008",0
"549","DFFN","Y2008",1
"550","DFRG","Y2008",0
"551","DGII","Y2008",0
"552","DGLY","Y2008",1
"553","DIOD","Y2008",0
"554","DISCA","Y2008",1
"555","DISCB","Y2008",1
"556","DISCK","Y2008",1
"557","DISH","Y2008",0
"558","DJCO","Y2008",0
"559","DLHC","Y2008",0
"560","DLPN","Y2008",1
"561","DLTH","Y2008",0
"562","DLTR","Y2008",0
"563","DMLP","Y2008",1
"564","DMPI","Y2008",0
"565","DMRC","Y2008",1
"566","DNKN","Y2008",0
"567","DNLI","Y2008",0
"568","DOGZ","Y2008",0
"569","DORM","Y2008",1
"570","DOVA","Y2008",0
"571","DOX","Y2008",0
"572","DRAD","Y2008",1
"573","DRIO","Y2008",0
"574","DRNA","Y2008",0
"575","DRRX","Y2008",1
"576","DRYS","Y2008",1
"577","DSGX","Y2008",0
"578","DSKE","Y2008",0
"579","DSPG","Y2008",1
"580","DSWL","Y2008",0
"581","DTEA","Y2008",0
"582","DTRM","Y2008",0
"583","DVAX","Y2008",1
"584","DVCR","Y2008",1
"585","DWCH","Y2008",0
"586","DWSN","Y2008",1
"587","DXCM","Y2008",1
"588","DXLG","Y2008",0
"589","DXPE","Y2008",1
"590","DXYN","Y2008",1
"591","DYNT","Y2008",0
"592","DYSL","Y2008",0
"593","DZSI","Y2008",1
"594","EA","Y2008",0
"595","EACQ","Y2008",0
"596","EARS","Y2008",0
"597","EAST","Y2008",0
"598","EBAY","Y2008",0
"599","EBIO","Y2008",0
"600","EBIX","Y2008",1
"601","ECHO","Y2008",1
"602","ECOL","Y2008",1
"603","ECYT","Y2008",0
"604","EDAP","Y2008",1
"605","EDGE","Y2008",0
"606","EDGW","Y2008",1
"607","EDIT","Y2008",0
"608","EDUC","Y2008",0
"609","EEI","Y2008",0
"610","EFII","Y2008",1
"611","EFOI","Y2008",1
"612","EGAN","Y2008",0
"613","EGLE","Y2008",1
"614","EGLT","Y2008",0
"615","EGOV","Y2008",1
"616","EGRX","Y2008",0
"617","EIGI","Y2008",0
"618","EIGR","Y2008",0
"619","EKSO","Y2008",0
"620","ELGX","Y2008",1
"621","ELON","Y2008",1
"622","ELSE","Y2008",1
"623","ELTK","Y2008",1
"624","EMITF","Y2008",1
"625","EMKR","Y2008",0
"626","EML","Y2008",1
"627","EMMS","Y2008",0
"628","ENDP","Y2008",1
"629","ENG","Y2008",1
"630","ENPH","Y2008",0
"631","ENSG","Y2008",0
"632","ENT","Y2008",0
"633","ENTA","Y2008",0
"634","ENTG","Y2008",0
"635","ENTL","Y2008",0
"636","EOLS","Y2008",0
"637","EPAY","Y2008",0
"638","EPIX","Y2008",0
"639","EPZM","Y2008",0
"640","EQIX","Y2008",1
"641","ERI","Y2008",0
"642","ERIC","Y2008",1
"643","ERII","Y2008",1
"644","ERYP","Y2008",0
"645","ESCA","Y2008",1
"646","ESEA","Y2008",1
"647","ESES","Y2008",0
"648","ESIO","Y2008",1
"649","ESLT","Y2008",1
"650","ESND","Y2008",1
"651","ESPR","Y2008",0
"652","ESRX","Y2008",1
"653","ESTR","Y2008",0
"654","ETSY","Y2008",0
"655","EVBG","Y2008",0
"656","EVEP","Y2008",1
"657","EVFM","Y2008",0
"658","EVGN","Y2008",0
"659","EVK","Y2008",1
"660","EVLV","Y2008",0
"661","EVOK","Y2008",0
"662","EVOL","Y2008",0
"663","EXAS","Y2008",1
"664","EXEL","Y2008",1
"665","EXFO","Y2008",0
"666","EXLS","Y2008",1
"667","EXPD","Y2008",1
"668","EXPE","Y2008",0
"669","EXPO","Y2008",1
"670","EXTR","Y2008",0
"671","EXXI","Y2008",0
"672","EYE","Y2008",0
"673","EYEG","Y2008",0
"674","EYEN","Y2008",0
"675","EYES","Y2008",0
"676","EZPW","Y2008",0
"677","FANG","Y2008",0
"678","FARM","Y2008",0
"679","FARO","Y2008",0
"680","FAST","Y2008",0
"681","FAT","Y2008",0
"682","FATE","Y2008",0
"683","FB","Y2008",0
"684","FBIO","Y2008",0
"685","FCEL","Y2008",0
"686","FCRE","Y2008",1
"687","FCSC","Y2008",1
"688","FEIM","Y2008",0
"689","FELE","Y2008",1
"690","FENC","Y2008",0
"691","FEYE","Y2008",0
"692","FFHL","Y2008",1
"693","FFIV","Y2008",0
"694","FGEN","Y2008",0
"695","FINL","Y2008",0
"696","FISV","Y2008",1
"697","FIVE","Y2008",0
"698","FIVN","Y2008",0
"699","FIZZ","Y2008",0
"700","FLDM","Y2008",0
"701","FLEX","Y2008",0
"702","FLGT","Y2008",0
"703","FLIR","Y2008",1
"704","FLKS","Y2008",0
"705","FLL","Y2008",1
"706","FLWS","Y2008",0
"707","FLXN","Y2008",0
"708","FLXS","Y2008",0
"709","FMI","Y2008",0
"710","FNJN","Y2008",0
"711","FNKO","Y2008",0
"712","FNSR","Y2008",0
"713","FOGO","Y2008",0
"714","FOLD","Y2008",1
"715","FOMX","Y2008",0
"716","FONR","Y2008",0
"717","FORD","Y2008",0
"718","FORK","Y2008",0
"719","FORM","Y2008",1
"720","FORR","Y2008",1
"721","FORTY","Y2008",1
"722","FOSL","Y2008",1
"723","FOX","Y2008",0
"724","FOXA","Y2008",0
"725","FOXF","Y2008",0
"726","FPAY","Y2008",0
"727","FPRX","Y2008",0
"728","FRAN","Y2008",0
"729","FRED","Y2008",0
"730","FRGI","Y2008",0
"731","FRPT","Y2008",0
"732","FRSH","Y2008",0
"733","FRSX","Y2008",0
"734","FRTA","Y2008",0
"735","FSCT","Y2008",0
"736","FSLR","Y2008",1
"737","FSNN","Y2008",1
"738","FSTR","Y2008",1
"739","FTD","Y2008",0
"740","FTEK","Y2008",1
"741","FTFT","Y2008",1
"742","FTNT","Y2008",0
"743","FTR","Y2008",1
"744","FUV","Y2008",0
"745","FVE","Y2008",1
"746","FWONK","Y2008",0
"747","FWP","Y2008",0
"748","FWRD","Y2008",1
"749","GAIA","Y2008",1
"750","GALT","Y2008",1
"751","GASS","Y2008",1
"752","GBT","Y2008",0
"753","GDEN","Y2008",1
"754","GDS","Y2008",0
"755","GEC","Y2008",0
"756","GEMP","Y2008",0
"757","GENC","Y2008",0
"758","GENE","Y2008",0
"759","GEOS","Y2008",0
"760","GERN","Y2008",1
"761","GEVO","Y2008",0
"762","GFN","Y2008",0
"763","GHDX","Y2008",1
"764","GIFI","Y2008",1
"765","GIGM","Y2008",1
"766","GIII","Y2008",0
"767","GILD","Y2008",1
"768","GILT","Y2008",1
"769","GLAD","Y2008",0
"770","GLBS","Y2008",0
"771","GLDD","Y2008",1
"772","GLMD","Y2008",0
"773","GLNG","Y2008",1
"774","GLPG","Y2008",0
"775","GLPI","Y2008",0
"776","GLUU","Y2008",1
"777","GLYC","Y2008",0
"778","GMLP","Y2008",0
"779","GNCA","Y2008",0
"780","GNCMA","Y2008",1
"781","GNMK","Y2008",0
"782","GNMX","Y2008",0
"783","GNTX","Y2008",0
"784","GNUS","Y2008",0
"785","GOGL","Y2008",1
"786","GOGO","Y2008",0
"787","GOLD","Y2008",1
"788","GOOD","Y2008",0
"789","GOODO","Y2008",NA
"790","GOODP","Y2008",NA
"791","GOOG","Y2008",0
"792","GOOGL","Y2008",0
"793","GPIC","Y2008",1
"794","GPOR","Y2008",1
"795","GPP","Y2008",0
"796","GPRE","Y2008",1
"797","GPRO","Y2008",0
"798","GRBK","Y2008",1
"799","GRFS","Y2008",0
"800","GRMN","Y2008",0
"801","GRPN","Y2008",0
"802","GRVY","Y2008",0
"803","GSIT","Y2008",0
"804","GSM","Y2008",0
"805","GSUM","Y2008",0
"806","GT","Y2008",0
"807","GTHX","Y2008",0
"808","GTIM","Y2008",0
"809","GTLS","Y2008",1
"810","GTXI","Y2008",1
"811","GURE","Y2008",1
"812","GWPH","Y2008",0
"813","GWRS","Y2008",0
"814","GYRO","Y2008",0
"815","HA","Y2008",0
"816","HABT","Y2008",0
"817","HAIN","Y2008",0
"818","HAIR","Y2008",0
"819","HALO","Y2008",0
"820","HAS","Y2008",1
"821","HAYN","Y2008",0
"822","HBIO","Y2008",1
"823","HBP","Y2008",1
"824","HCCI","Y2008",1
"825","HCKT","Y2008",1
"826","HCM","Y2008",0
"827","HCOM","Y2008",0
"828","HCSG","Y2008",1
"829","HDNG","Y2008",1
"830","HDP","Y2008",0
"831","HDS","Y2008",0
"832","HDSN","Y2008",1
"833","HEAR","Y2008",0
"834","HEBT","Y2008",0
"835","HELE","Y2008",0
"836","HIBB","Y2008",0
"837","HIHO","Y2008",0
"838","HIMX","Y2008",1
"839","HLG","Y2008",0
"840","HLIT","Y2008",1
"841","HMHC","Y2008",0
"842","HMNY","Y2008",1
"843","HMSY","Y2008",1
"844","HMTV","Y2008",0
"845","HNRG","Y2008",1
"846","HOFT","Y2008",0
"847","HOLI","Y2008",0
"848","HOLX","Y2008",0
"849","HOVNP","Y2008",NA
"850","HPJ","Y2008",1
"851","HPT","Y2008",1
"852","HQCL","Y2008",0
"853","HQY","Y2008",0
"854","HRTX","Y2008",0
"855","HSGX","Y2008",0
"856","HSIC","Y2008",0
"857","HSII","Y2008",1
"858","HSKA","Y2008",1
"859","HSON","Y2008",1
"860","HSTM","Y2008",1
"861","HTBX","Y2008",0
"862","HTGM","Y2008",0
"863","HTHT","Y2008",0
"864","HTLD","Y2008",1
"865","HUBG","Y2008",1
"866","HURC","Y2008",0
"867","HURN","Y2008",1
"868","HWCC","Y2008",1
"869","HWKN","Y2008",0
"870","HYGS","Y2008",1
"871","HZNP","Y2008",0
"872","IAC","Y2008",1
"873","IART","Y2008",1
"874","ICAD","Y2008",1
"875","ICCC","Y2008",1
"876","ICFI","Y2008",1
"877","ICHR","Y2008",0
"878","ICLK","Y2008",0
"879","ICLR","Y2008",1
"880","ICON","Y2008",1
"881","ICPT","Y2008",0
"882","ICUI","Y2008",1
"883","IDCC","Y2008",1
"884","IDRA","Y2008",1
"885","IDSA","Y2008",1
"886","IDSY","Y2008",1
"887","IDTI","Y2008",0
"888","IDXG","Y2008",1
"889","IDXX","Y2008",0
"890","IEP","Y2008",1
"891","IESC","Y2008",0
"892","IFMK","Y2008",0
"893","IFON","Y2008",1
"894","IGLD","Y2008",1
"895","III","Y2008",1
"896","IIIN","Y2008",0
"897","IIJI","Y2008",0
"898","IIN","Y2008",1
"899","IIVI","Y2008",0
"900","IKNX","Y2008",0
"901","ILMN","Y2008",0
"902","ILPT","Y2008",0
"903","IMDZ","Y2008",0
"904","IMGN","Y2008",1
"905","IMI","Y2008",0
"906","IMKTA","Y2008",0
"907","IMMP","Y2008",0
"908","IMMR","Y2008",1
"909","IMMU","Y2008",0
"910","IMMY","Y2008",1
"911","IMOS","Y2008",0
"912","IMPV","Y2008",0
"913","IMRN","Y2008",0
"914","IMTE","Y2008",0
"915","INAP","Y2008",1
"916","INCY","Y2008",0
"917","INFI","Y2008",1
"918","INFN","Y2008",1
"919","INFO","Y2008",0
"920","INGN","Y2008",0
"921","INNT","Y2008",0
"922","INO","Y2008",1
"923","INOD","Y2008",1
"924","INOV","Y2008",0
"925","INPX","Y2008",0
"926","INSE","Y2008",0
"927","INSG","Y2008",1
"928","INSM","Y2008",1
"929","INSY","Y2008",1
"930","INTC","Y2008",0
"931","INTG","Y2008",0
"932","INTU","Y2008",0
"933","INTX","Y2008",1
"934","INVA","Y2008",1
"935","INVE","Y2008",1
"936","INWK","Y2008",1
"937","IONS","Y2008",1
"938","IOSP","Y2008",0
"939","IOTS","Y2008",0
"940","IOVA","Y2008",0
"941","IPAR","Y2008",1
"942","IPAS","Y2008",1
"943","IPCI","Y2008",1
"944","IPDN","Y2008",0
"945","IPGP","Y2008",1
